"Time","GeoTypeDesc","GeoID","GeoRank","Geography","Number: Bicycle","Number: Car, truck, or van","Number: Public transportation","Number: Walked","Percent: Bicycle","Percent: Car, truck, or van","Percent: Public transportation","Percent: Walked"
"2017-21","Neighborhood Tabulation Area","810201","9","Long Island City-Hunters Point","115","1,474","9,869","472","0.8","9.7","64.9","3.1"
"2017-21","Neighborhood Tabulation Area","810202","9","Sunnyside","534","4,887","16,273","1,687","2.0","18.3","61.1","6.3"
"2017-21","Neighborhood Tabulation Area","810203","9","Woodside","193","6,124","14,647","1,964","0.8","25.0","59.8","8.0"
"2017-21","Neighborhood Tabulation Area","810301","9","Jackson Heights","729","10,250","24,183","3,966","1.6","23.2","54.7","9.0"
"2017-21","Neighborhood Tabulation Area","810302","9","East Elmhurst","157","3,655","5,333","563","1.5","35.4","51.6","5.4"
"2017-21","Neighborhood Tabulation Area","810303","9","North Corona","231","4,228","15,393","2,086","1.0","18.6","67.8","9.2"
"2017-21","Neighborhood Tabulation Area","810401","9","Elmhurst","278","10,493","33,688","3,380","0.5","20.4","65.6","6.6"
"2017-21","Neighborhood Tabulation Area","810402","9","Corona","192","7,772","20,570","3,386","0.6","23.2","61.5","10.1"
"2017-21","Neighborhood Tabulation Area","810501","9","Maspeth","133","9,836","8,236","1,158","0.6","47.7","39.9","5.6"
"2017-21","Neighborhood Tabulation Area","810502","9","Ridgewood","711","8,197","22,516","2,566","1.9","21.8","59.7","6.8"
"2017-21","Neighborhood Tabulation Area","810503","9","Glendale","127","8,654","6,691","1,046","0.7","48.8","37.7","5.9"
"2017-21","Neighborhood Tabulation Area","810504","9","Middle Village","64","8,721","7,121","634","0.3","48.2","39.4","3.5"
"2017-21","Neighborhood Tabulation Area","810601","9","Rego Park","52","3,900","7,744","730","0.3","26.3","52.2","4.9"
"2017-21","Neighborhood Tabulation Area","810602","9","Forest Hills","163","12,607","23,628","2,671","0.3","27.0","50.7","5.7"
"2017-21","Neighborhood Tabulation Area","810701","9","College Point","24","7,996","4,099","477","0.2","59.8","30.6","3.6"
"2017-21","Neighborhood Tabulation Area","810702","9","Whitestone-Beechhurst","0","9,373","2,437","119","0.0","71.8","18.7","0.9"
"2017-21","Neighborhood Tabulation Area","810703","9","Bay Terrace-Clearview","0","6,370","2,128","163","0.0","66.0","22.1","1.7"
"2017-21","Neighborhood Tabulation Area","810704","9","Murray Hill-Broadway Flushing","118","11,147","8,870","3,146","0.5","44.2","35.2","12.5"
"2017-21","Neighborhood Tabulation Area","810705","9","East Flushing","51","6,225","4,797","1,066","0.4","47.5","36.6","8.1"
"2017-21","Neighborhood Tabulation Area","810706","9","Queensboro Hill","31","4,597","3,444","475","0.3","48.7","36.5","5.0"
"2017-21","Neighborhood Tabulation Area","810707","9","Flushing-Willets Point","243","6,662","11,517","6,148","0.9","25.3","43.8","23.4"
"2017-21","Neighborhood Tabulation Area","810801","9","Kew Gardens Hills","44","6,969","5,973","1,072","0.3","44.8","38.4","6.9"
"2017-21","Neighborhood Tabulation Area","810802","9","Pomonok-Electchester-Hillcrest","0","6,573","5,863","1,241","0.0","43.5","38.8","8.2"
"2017-21","Neighborhood Tabulation Area","810803","9","Fresh Meadows-Utopia","33","5,654","2,633","259","0.3","55.7","25.9","2.5"
"2017-21","Neighborhood Tabulation Area","810804","9","Jamaica Estates-Holliswood","107","4,890","4,546","514","0.9","43.0","40.0","4.5"
"2017-21","Neighborhood Tabulation Area","810805","9","Jamaica Hills-Briarwood","0","6,939","8,444","1,249","0.0","36.6","44.5","6.6"
"2017-21","Neighborhood Tabulation Area","810901","9","Kew Gardens","43","3,907","5,699","736","0.4","32.3","47.1","6.1"
"2017-21","Neighborhood Tabulation Area","810902","9","Richmond Hill","84","6,964","7,720","907","0.5","41.0","45.4","5.3"
"2017-21","Neighborhood Tabulation Area","810903","9","South Richmond Hill","1","5,124","5,400","782","0.0","43.3","45.6","6.6"
"2017-21","Neighborhood Tabulation Area","810904","9","Ozone Park (North)","96","4,710","5,567","718","0.8","38.5","45.5","5.9"
"2017-21","Neighborhood Tabulation Area","810905","9","Woodhaven","43","6,182","10,897","798","0.2","32.2","56.7","4.2"
"2017-21","Neighborhood Tabulation Area","811001","9","South Ozone Park","68","21,037","15,172","1,225","0.2","52.5","37.8","3.1"
"2017-21","Neighborhood Tabulation Area","811002","9","Ozone Park","24","4,791","5,160","393","0.2","41.7","44.9","3.4"
"2017-21","Neighborhood Tabulation Area","811003","9","Howard Beach-Lindenwood","36","8,592","3,285","367","0.3","66.3","25.3","2.8"
"2017-21","Neighborhood Tabulation Area","811101","9","Auburndale","26","9,763","4,573","538","0.2","59.3","27.8","3.3"
"2017-21","Neighborhood Tabulation Area","811102","9","Bayside","0","9,964","5,039","802","0.0","56.8","28.8","4.6"
"2017-21","Neighborhood Tabulation Area","811103","9","Douglaston-Little Neck","43","7,905","2,779","295","0.3","62.7","22.0","2.3"
"2017-21","Neighborhood Tabulation Area","811104","9","Oakland Gardens-Hollis Hills","27","7,441","3,864","323","0.2","58.6","30.4","2.5"
"2017-21","Neighborhood Tabulation Area","811201","9","Jamaica","53","7,770","15,031","2,181","0.2","29.2","56.4","8.2"
"2017-21","Neighborhood Tabulation Area","811202","9","South Jamaica","11","8,680","8,308","551","0.1","46.6","44.6","3.0"
"2017-21","Neighborhood Tabulation Area","811203","9","Baisley Park","29","10,626","7,897","590","0.1","52.3","38.9","2.9"
"2017-21","Neighborhood Tabulation Area","811204","9","Springfield Gardens (North)-Rochdale Village","20","7,192","6,328","79","0.1","50.0","44.0","0.6"
"2017-21","Neighborhood Tabulation Area","811205","9","St. Albans","68","14,021","9,904","474","0.2","52.5","37.1","1.8"
"2017-21","Neighborhood Tabulation Area","811206","9","Hollis","17","5,515","4,892","300","0.1","48.3","42.8","2.6"
"2017-21","Neighborhood Tabulation Area","811301","9","Glen Oaks-Floral Park-New Hyde Park","12","8,149","1,901","412","0.1","72.8","17.0","3.7"
"2017-21","Neighborhood Tabulation Area","811302","9","Bellerose","0","8,987","3,433","42","0.0","68.0","26.0","0.3"
"2017-21","Neighborhood Tabulation Area","811303","9","Queens Village","79","15,172","9,916","579","0.3","53.6","35.0","2.0"
"2017-21","Neighborhood Tabulation Area","811304","9","Cambria Heights","46","6,148","3,630","124","0.4","58.2","34.3","1.2"
"2017-21","Neighborhood Tabulation Area","811305","9","Laurelton","62","8,099","4,190","267","0.4","58.1","30.0","1.9"
"2017-21","Neighborhood Tabulation Area","811306","9","Springfield Gardens (South)-Brookville","10","6,051","3,610","189","0.1","55.8","33.3","1.7"
"2017-21","Neighborhood Tabulation Area","811307","9","Rosedale","0","7,776","3,897","335","0.0","59.7","29.9","2.6"
"2017-21","Neighborhood Tabulation Area","811401","9","Far Rockaway-Bayswater","111","12,200","8,041","1,608","0.4","49.6","32.7","6.5"
"2017-21","Neighborhood Tabulation Area","811402","9","Rockaway Beach-Arverne-Edgemere","196","7,712","6,930","696","1.2","46.3","41.6","4.2"
"2017-21","Neighborhood Tabulation Area","811403","9","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","109","7,318","2,263","651","1.0","65.9","20.4","5.9"
"2017-21","Neighborhood Tabulation Area","850101","9","St. George-New Brighton","19","2,852","3,548","379","0.2","37.3","46.4","5.0"
"2017-21","Neighborhood Tabulation Area","850102","9","Tompkinsville-Stapleton-Clifton-Fox Hills","44","2,959","3,245","274","0.6","43.0","47.2","4.0"
"2017-21","Neighborhood Tabulation Area","850103","9","Rosebank-Shore Acres-Park Hill","116","5,254","3,895","310","1.1","51.0","37.8","3.0"
"2017-21","Neighborhood Tabulation Area","850104","9","West New Brighton-Silver Lake-Grymes Hill","43","9,476","4,573","1,121","0.3","56.4","27.2","6.7"
"2017-21","Neighborhood Tabulation Area","850105","9","Westerleigh-Castleton Corners","10","9,815","3,010","195","0.1","68.5","21.0","1.4"
"2017-21","Neighborhood Tabulation Area","850106","9","Port Richmond","0","5,058","2,411","265","0.0","61.4","29.3","3.2"
"2017-21","Neighborhood Tabulation Area","850107","9","Mariner's Harbor-Arlington-Graniteville","15","8,757","4,807","491","0.1","58.8","32.3","3.3"
"2017-21","Neighborhood Tabulation Area","850201","9","Grasmere-Arrochar-South Beach-Dongan Hills","69","9,114","5,312","889","0.4","55.8","32.5","5.4"
"2017-21","Neighborhood Tabulation Area","850202","9","New Dorp-Midland Beach","0","7,464","3,231","356","0.0","61.5","26.6","2.9"
"2017-21","Neighborhood Tabulation Area","850203","9","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights","0","8,684","2,230","217","0.0","68.3","17.5","1.7"
"2017-21","Neighborhood Tabulation Area","850204","9","New Springville-Willowbrook-Bulls Head-Travis","17","13,350","4,829","388","0.1","67.2","24.3","2.0"
"2017-21","Neighborhood Tabulation Area","850301","9","Oakwood-Richmondtown","6","6,371","2,977","183","0.1","62.2","29.0","1.8"
"2017-21","Neighborhood Tabulation Area","850302","9","Great Kills-Eltingville","49","17,691","5,794","236","0.2","67.7","22.2","0.9"
"2017-21","Neighborhood Tabulation Area","850303","9","Arden Heights-Rossville","14","11,723","2,318","105","0.1","79.1","15.6","0.7"
"2017-21","Neighborhood Tabulation Area","850304","9","Annadale-Huguenot-Prince's Bay-Woodrow","6","13,726","4,092","286","0.0","67.9","20.2","1.4"
"2017-21","Neighborhood Tabulation Area","850305","9","Tottenville-Charleston","0","5,782","1,229","235","0.0","75.3","16.0","3.1"
